  ,grp,_1 ,_2 ,_3 ,_4 ,_5 ,_6 ,_7 ,_8 ,_9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 
_1,1,46,0,1412,0,179,0,1,0,4,0,4,29,1,213,3,68,3,0,1,0  
_2,1,40,0,0,0,0,0,0,0,2,0,1,0,3,86,4,34,5,0,34,0        
_3,1,199,0,628,736,49,1,2,0,1,0,0,0,0,682,4,30,4,0,6,0  
_4,1,228,0,0,0,4,0,0,0,0,0,1,44,4,53,4,16,0,0,16,0      
_5,1,4,0,10,3313,105,0,3,0,5,32,4,79,0,56,3,5,2,0,4,0   
_6,1,417,0,7,1,13,1,0,0,4,3198,0,3,2,149,4,0,2,0,550,0  
_7,1,71,0,765,2065,0,0,2,0,1,0,2,1,2,193,5,9,5,0,52,0   
_8,1,9,0,2,19,132,0,2,0,1,0,0,0,2,318,4,0,6,0,933,0     
_9,1,31,0,24,2184,3,0,2,0,0,58,1,0,0,6,3,0,1,0,50,0     
10,1,1,0,2542,675,596,1,1,0,4,0,4,6,2,100,3,0,1,0,683,0 
11,1,17,0,0,0,456,1,1,1,2,0,0,0,0,610,3,1,1,0,3,0       
12,1,143,0,977,1571,82,0,0,0,2,0,0,291,2,9,0,0,2,0,0,0  
13,1,44,0,10,100,197,1,1,0,0,0,3,54,1,676,4,1,7,0,0,0   
14,1,7,0,5,164,54,0,2,0,3,0,2,0,1,1065,2,0,2,0,312,0    
15,2,21,0,630,1604,4,0,4,0,3,0,1,0,0,175,2,3,5,0,69,0   
16,2,99,0,13,324,17,0,1,1,1,1,3,330,2,195,2,12,8,0,0,0  
17,2,553,0,0,1,301,0,2,0,2,154,1,1,2,520,6,0,8,0,0,0    
18,2,727,2,2,1118,0,0,0,0,1,0,1,0,4,525,4,0,4,0,82,0    
19,2,894,0,3,93,63,1,2,0,4,1009,2,0,1,229,7,20,4,1,202,0
20,2,8578,0,5,145,12,0,1,1,3,0,2,0,7,246,3,27,2,0,25,0  
21,2,30,0,538,55,334,2,2,1,0,0,1,0,1,53,4,0,6,0,237,0   
22,2,1707,0,0,5,33,2,1,1,2,0,1,0,2,295,6,26,2,0,86,0    
23,2,307,0,421,0,66,0,2,0,1,0,1,1,1,100,5,26,4,0,46,0   
24,2,425,0,1,22,72,0,3,0,2,0,2,0,2,189,8,0,2,0,0,0      
25,2,245,0,98,0,121,1,1,0,5,27,3,0,1,49,5,4,2,1,40,0    
26,2,1694,0,7,131,7,0,0,0,2,0,1,0,1,138,4,31,3,0,45,0   
27,2,314,0,0,537,28,1,1,0,2,0,0,0,4,64,4,3,2,0,54,0     
28,2,913,0,0,93,0,2,0,0,0,212,2,0,1,326,6,0,6,1,0,0     
